Program	Notes	SC	OC	R	AM	AR
DEFENSIVE						
Armor 6	Optimized. Stored as 1-6 on chip	546	54	6	54	6
Cloak 6	Optimized. Stored as 1-6 on chip	546	54	6	54	6
Lock-On 6	Optimized. Stored as 1-6 on chip	546	54	6	54	6
Medic 6	Optimized. Stored as 1-6 on chip	728	72	6	72	6
Restore 6	Optimized. Stored as 1-6 on chip	546	54	6	0	0
Shield 6	Optimized. Stored as 1-6 on chip	728	72	6	72	6
OFFENSIVE						
Attack D 6	Optimized. Stored as 1-6 on chip	910	90	6	90	6
Attack S 6	Optimized. Stored as 1-6 on chip. Targeting	1592	128	8	0	0
Slow 6	Optimized. Stored as 1-6 on chip	728	72	6	0	0
Steamroller 6	Optimized. Stored as 1-6 on chip	546	54	6	0	0
OPERATIONAL						
Analyze 6	Optimized. Stored as 1-6 on chip. Sneak	1140	96	8	96	8
Analyze 6 (DINAB)	Optimized. Stored as 1-6 on chip. DINAB 6	1356	254	9	254	9
Browse 6	Optimized. Stored as 1-6 on chip. Sneak	380	32	8	32	8
Camo 6	Optimized. Stored as 1-6 on chip. Sneak	1140	96	8	96	8
Commlink 6	Optimized. Stored as 1-6 on chip. Sneak	398	32	8	32	8
Crash 6	Optimized. Stored as 1-6 on chip. Sneak	1194	96	8	0	0
Deception 6	Optimized. Stored as 1-6 on chip. Sneak	760	64	8	64	8
Decrypt 6	Optimized. Stored as 1-6 on chip. Sneak	398	32	8	0	0
Defuse 6	Optimized. Stored as 1-6 on chip. Sneak	796	64	8	64	8
Doorstop 6	Optimized. Stored as 1-6 on chip. Sneak	398	32	8	32	8
Encrypt 6	Optimized. Stored as 1-6 on chip. Sneak	398	32	8	0	0
Evaluate 6	Optimized. Stored as 1-6 on chip. Sneak	796	64	8	64	8
Mirrors 6	Optimized. Stored as 1-6 on chip. Sneak	1194	96	8	96	8
Purge 6	Optimized. Stored as 1-6 on chip. Sneak	796	64	8	64	8
Read/Write 6	Optimized. Stored as 1-6 on chip. Sneak	760	64	8	64	8
Redecorate 6	Optimized. Stored as 1-6 on chip. Sneak	796	64	8	0	0
Relocate 6	Optimized. Stored as 1-6 on chip. Sneak	760	64	8	64	8
Scanner 6	Optimized. Stored as 1-6 on chip. Sneak	1194	96	8	96	8
Scanner 6 (DINAB)	Optimized. Stored as 1-6 on chip. DINAB 6	1314	122	9	0	0
Sniffer 6	Optimized. Stored as 1-6 on chip. Sneak	1194	96	8	96	8
Snooper 6	Optimized. Stored as 1-6 on chip. Sneak	796	64	8	64	8
Spoof 6	Optimized. Stored as 1-6 on chip. Sneak	1140	96	8	96	8
Swerve 6	Optimized. Stored as 1-6 on chip. Sneak	1194	96	8	96	8
Triangulation 6	Optimized. Stored as 1-6 on chip. Sneak	796	64	8	64	8
Validate 6	Optimized. Stored as 1-6 on chip. Sneak	1592	128	8	0	0
SPECIAL						
BattleTac Matrix Link 6	Optimized. Stored as 1-6 on chip	910	90	6	90	6
Cellular Link 6	Optimized. Stored as 1-6 on chip	182	18	6	18	6
Compressor 6	Optimized. Stored as 1-6 on chip	364	36	6	36	6
Cracker 6	Optimized. Stored as 1-6 on chip	1092	108	6	0	0
Cracker 6 (DINAB)	DINAB 6. Optimized. Cracking 6 Knowsoft	3343	334	9	0	0
Guardian 6	Optimized. Stored as 1-6 on chip	364	36	6	0	0
Maser Link 6	Optimized. Stored as 1-6 on chip	182	18	6	0	0
Microwave Link 6	Optimized. Stored as 1-6 on chip	182	18	6	0	0
Programming Suite 6 (HoloLISP)	Self Coder 6. Optimized	2430	608	9	0	0
Radio Link 6	Optimized. Stored as 1-6 on chip	182	18	6	0	0
Remote Control 6	Optimized. Stored as 1-6 on chip	546	54	6	0	0
Satellite Link 6	Optimized. Stored as 1-6 on chip	364	36	6	0	0
Sleaze 6	Optimized. Stored as 1-6 on chip	546	54	6	54	6
Track 6	Optimized. Stored as 1-6 on chip	1456	144	6	0	0
FRAMES AND AGENTS						
Agent Frame Core 6 (Blank)	FP 36 P6 IB1 UP21 BEMS-2442. Stored as 1-6 on chip	1820	180	6	0	0
Agent (Software Ripper)	FP 36 P6 IB1 UP21 BEMS-2442. Sleaze 6. Deception 6. Cracker 6. Read/Write 4	927	387	6	0	0
Dumb Frame Core 6 (Blank)	FP 12 UP12 BEMS-1221. Stored as 1-6 on chip	546	54	6	0	0
Dumb Frame (Data Search)	FP 12 UP12 BEMS-1221. Sleaze 4. Deception 4. Browse 4	264	102	6	102	6
Dumb Frame (Program/OMC Carrier)	FP 4 UP4 B-2. Read/Write 2. Decrypt 1. Encrypt 1	28	10	2	0	0
Dumb Frame (Simsense Carrier)	FP 4 UP4 B-2. Oneshot. Read/Write 2. Decrypt 1. Encrypt 1	22	7	2	0	0
Smart Frame Core 6 (Blank)	FP 24 P6 IB0 UP12 BEMS-1221. Stored as 1-6 on chip	1092	108	6	0	0
Smart Frame (Call Router)	FP 24 P6 IB0 UP12 BEMS-1221. Sleaze 4. Deception 4. Commlink 4	480	156	6	156	6
